DATATYPE ZTEM
1 388 389 390 1 		 0.04768496 0.01238425 0.04753189 0.01237659 0.01181075 0.01059054 0.01898889 0.01094944
1 391 392 393 1 		 -0.0187415 0.01093708 -0.01847742 0.01092387 0.009526327 0.01047632 0.010381 0.01051905
1 394 395 396 1 		 -0.03143373 0.01157169 -0.0218604 0.01109302 0.0200265 0.01100132 0.01640351 0.01082018
1 397 398 399 1 		 -0.04785914 0.01239296 -0.02301263 0.01115063 0.04375312 0.01218766 0.02558119 0.01127906
1 400 401 402 1 		 -0.05594026 0.01279701 -0.02145527 0.01107276 0.09042256 0.01452113 0.03730098 0.01186505
1 403 404 405 1 		 -0.03943331 0.01197167 -0.01800473 0.01090024 0.1511154 0.01755577 0.05159002 0.0125795
1 406 407 408 1 		 -0.02110846 0.01105542 -0.0102568 0.01051284 0.1906827 0.01953414 0.06587437 0.01329372
1 409 410 411 1 		 -0.007693155 0.01038466 -0.0005240343 0.0100262 0.2051522 0.02025761 0.0735026 0.01367513
1 412 413 414 1 		 0.006635893 0.01033179 0.01106689 0.01055334 0.2006744 0.02003372 0.07333155 0.01366658
1 415 416 417 1 		 0.02794803 0.0113974 0.02471874 0.01123594 0.1728826 0.01864413 0.06518685 0.01325934
1 418 419 420 1 		 0.05565741 0.01278287 0.03661897 0.01183095 0.1197135 0.01598568 0.05371478 0.01268574
1 421 422 423 1 		 0.06311125 0.01315556 0.04265627 0.01213281 0.06311125 0.01315556 0.04265627 0.01213281
1 424 425 426 1 		 0.04797637 0.01239882 0.0425072 0.01212536 0.02957841 0.01147892 0.03096666 0.01154833
1 427 428 429 1 		 0.03073359 0.01153668 0.0369573 0.01184787 0.0135598 0.01067799 0.0213994 0.01106997
1 430 431 432 1 		 -0.01259954 0.01062998 -0.01449305 0.01072465 0.009510246 0.01047551 0.01308374 0.01065419
1 433 434 435 1 		 -0.01920215 0.01096011 -0.01669947 0.01083497 0.01893704 0.01094685 0.01995696 0.01099785
1 436 437 438 1 		 -0.02580957 0.01129048 -0.0174131 0.01087066 0.0370634 0.01185317 0.02999338 0.01149967
1 439 440 441 1 		 -0.02811065 0.01140553 -0.01601615 0.01080081 0.06620869 0.01331043 0.04305782 0.01215289
1 442 443 444 1 		 -0.02268963 0.01113448 -0.01199182 0.01059959 0.1008937 0.01504469 0.05804059 0.01290203
1 445 446 447 1 		 -0.01411917 0.01070596 -0.005631973 0.0102816 0.1272221 0.01636111 0.07134827 0.01356741
1 448 449 450 1 		 -0.005302976 0.01026515 0.002324382 0.01011622 0.1379244 0.01689622 0.07821728 0.01391086
